Codigo,Fabricante ,DescriÃ§Ã£o,SP,Proxima Entrada em SP,VIX ES,Proxima Entrada em ES,Total,ForeCast Novo,Meses,Data_Referencia
0110-005,Alianza,ESPUMA MENOPAUSA 150 ML,84,0,3593,,3677,241,"15,3",02/09/2026
0005-001,CM Hospitalar,ABS. P/ SEIOS AMAMENTE C/ 12,9637,0,23370,,33007,28100,"1,2",
0070-003,Support Pack,CONCHA BASE FLEXIVEL - MACRO,133,0,92,,225,1600,"0,1",
0072-044,Semina,KY BLUEBARRY NATURAL 50G,14279,0,5054,,19333,1500,"12,9",
0072-039,Semina,K-Y HIDRATANTE BISN. 30 G,10687,11000,14416,,36103,8600,"4,2",
0072-041,Semina,K-Y LIQUID 50G,2038,13000,18394,,33432,14100,"2,4",
0072-033,Semina,K-Y ULTRA SILICONE 50G,4131,0,9910,7211,21252,10100,"2,1",
0072-029,Semina,K-Y ULTRAGEL HOT 50G ,7629,0,15844,,23473,11600,"2,0",
0072-048,Semina,K-Y ULTRAGEL HOT SACHE 5G                         ,36000,0,0,,36000,5100,"7,1",
0072-024,Semina,K-Y ORIGINAL BISNAGA DE 50 G,45624,0,109408,,155032,80100,"1,9",
0072-043,Semina,KY MORANGO NATURAL 50G,18167,0,7514,,25681,3300,"7,8",
0072-038,Semina,KY ORIGINAL SACHE 5 G,17800,0,61400,,79200,115500,"0,7",
0005-019,Alianza,K-Y NATURALS ESP. HIG. INT. TODO DIA 150ML,4,0,591,,595,850,"0,7",
0000-028,Support Pack,PRES. FEM. - DELLA UN. P/ CART.,676,5000,228,15000,20904,4000,"5,2",
0005-021,Alianza,K-Y NATURALS ESP. HIG. INT. HIPOALERGENICA 150ML,2235,0,1414,,3649,1100,"3,3",
0072-045,Semina,KY VANILLA NATURAL 50G,1217,0,8078,,9295,900,"10,3",
0005-002,CM Hospitalar,ABS. P/ SEIOS AMAMENTE C/ 30,169502,0,67337,,236839,40100,"5,9",
0072-055,Semina,K-Y LIQUID 120 G,3646,0,5325,,8971,2000,"4,5",
0005-020,Alianza,K-Y NATURALS ESP. HIG. INT. MENOPAUSA 150ML,536,0,522,,1058,1300,"0,8",
0072-042,Semina,KY NATURAL  50G,1188,0,2506,,3694,1487,"2,5",
0070-013,Maila,AMAMENTE LANOLINA,2804,0,6943,,9747,3600,"2,7",
0005-016,Carmel,K-Y CLINICAL LENÃ‡O ÃNTIMO C/ 16 UNIDADES,21473,0,37464,,58937,6100,"9,7",
0072-064,Semina,K-Y NATURALS 120G,3484,0,14287,,17771,1100,"16,2",
0072-025,Semina,K-Y ORIGINAL BISN. 100 G,103156,0,78770,,181926,50100,"3,6",
0072-026,Semina,K-Y ORIGINAL 48X3 SACHE DE 5 G,382,16320,56640,,73342,20100,"3,6",
0070-005,Support Pack,CONCHA BASE RIGIDA - MACRO,293,0,501,,794,669,"1,2",
0070-010,Perfitecnica,PROTETOR DE MAMILO C/2,8530,0,5165,,13695,2091,"6,5",
0070-006,Perfitecnica,PROTETOR DE MAMILO ( INTERMEDIARIO ),19776,0,26391,,46167,6900,"6,7",
0005-014,Carmel,TOAL. HIG. AMAMENTE BABY C/48,15379,0,6216,,21595,4216,"5,1",
0072-074,Semina,K-Y ORIGINAL BISN. 25G,28369,0,11586,,39955,2600,"15,4",
0005-018,Maila,K-Y CLINICAL FEMININO 120ML,4818,6000,14323,,25141,1020,"24,6",
0005-013,CM Hospitalar,QUAD. ALG. AMAMENTE BABY C/100,3403,0,3780,,7183,2600,"2,8",
0005-009,CM Hospitalar,ABS.P/SEIOS SUPER PREMIUM C/24,3284,0,54493,,57777,5100,"11,3",
0005-015,Carmel,TOAL.HIGI. AMAMENTE BABY C/96,13881,0,21852,,35733,2300,"15,5",
0072-065,Semina,K-Y NATURALS MORANGO 120G,7333,0,4885,,12218,973,"12,6",
0110-007,Alianza,ESPUMA TEEN 150 ML,204,0,744,,948,137,"6,9",
0070-012,Herboflora,CHA DA MAMAE AMAM. CART. C/15,7032,0,19308,,26340,1200,"22,0",
0072-047,Semina,K-Y LIQUID SACHE 5G,62200,0,62500,,124700,2600,"48,0",
0110-004,Alianza,ESPUMA CALM 150 ML,6,0,3114,,3120,237,"13,2",
0005-012,CM Hospitalar,QUAD. ALG. AMAMENTE BABY C/50,41510,0,4331,,45841,2400,"19,1",
0005-017,Maila,K-Y CLINICAL PROCTO 120ML,9974,0,12363,,22337,400,"55,8",
0110-006,Alianza,ESPUMA MESTRUACAO 150 ML,261,0,1668,,1929,147,"13,1",
0110-003,Alianza,NUAÃ ESPUMA DE HIGIENE ÃNTIMA SUAVE - 150ML,804,0,4513,,5317,168,"31,6",
0110-001,Alianza,NUAÃ ÃGUA ÃNTIMA PREBIÃ“TICA FRESH - 50ML,996,0,4692,,5688,163,"34,9",
0072-037,Semina,GEL LUB. SEMINA - VP,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,
0072-076,Semina,K-Y NATURALS MORANGO SACHE 5G,1700,0,0,,1700,#N/A,#N/A,
0110-011,Harus,CREME ESFOLIANTE 100ML,2112,0,186,,2298,#N/A,#N/A,
